,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
457,641.304,0.9129999999999999,CHILD,1,0.9129999999999999
458,642.178,2.189,ADULT,-1,-2.189
459,643.705,2.975,CHILD,1,2.975
460,646.395,1.338,ADULT,-1,-1.338
461,647.011,5.0,ADULT,-1,-5.0
463,652.377,0.7979999999999999,CHILD,1,0.7979999999999999
464,653.268,1.743,ADULT,-1,-1.743
466,655.398,0.9109999999999999,CHILD,1,0.9109999999999999
467,656.184,1.807,ADULT,-1,-1.807
469,658.383,0.675,CHILD,1,0.675
470,658.493,0.5529999999999999,CHILD,1,0.5529999999999999
471,659.2,2.03,ADULT,-1,-2.03
472,661.3789999999999,0.665,CHILD,1,0.665
473,661.492,0.52,CHILD,1,0.52
474,661.9739999999999,1.601,ADULT,-1,-1.601
475,663.81,0.638,CHILD,1,0.638
476,664.541,2.155,ADULT,-1,-2.155
477,664.554,1.735,ADULT,-1,-1.735
478,666.492,0.11800000000000001,ADULT,-1,-0.11800000000000001
480,667.305,2.206,ADULT,-1,-2.206
482,671.112,0.39799999999999996,CHILD,1,0.39799999999999996
483,671.6010000000001,3.758,ADULT,-1,-3.758
485,676.365,0.9640000000000001,CHILD,1,0.9640000000000001
486,677.2760000000001,0.7340000000000001,ADULT,-1,-0.7340000000000001
488,678.4910000000001,1.0190000000000001,CHILD,1,1.0190000000000001
489,679.59,3.233,ADULT,-1,-3.233
490,681.566,0.11800000000000001,ADULT,-1,-0.11800000000000001
491,681.828,0.987,ADULT,-1,-0.987
492,691.1289999999999,1.571,ADULT,-1,-1.571
494,692.985,2.025,CHILD,1,2.025
496,695.4689999999999,1.225,ADULT,-1,-1.225
497,696.801,2.3890000000000002,ADULT,-1,-2.3890000000000002
499,700.059,0.9329999999999999,CHILD,1,0.9329999999999999
500,701.0939999999999,0.38299999999999995,CHILD,1,0.38299999999999995
501,701.492,0.27699999999999997,ADULT,-1,-0.27699999999999997
502,702.6619999999999,0.13699999999999998,CHILD,1,0.13699999999999998
504,703.492,0.975,ADULT,-1,-0.975
505,704.459,4.052,CHILD,1,4.052
506,705.061,1.45,CHILD,1,1.45
507,708.443,4.47,ADULT,-1,-4.47
509,713.9910000000001,1.06,ADULT,-1,-1.06
511,715.672,1.59,CHILD,1,1.59
512,717.4119999999999,0.599,ADULT,-1,-0.599
513,717.4910000000001,2.977,ADULT,-1,-2.977
514,719.513,0.37,ADULT,-1,-0.37
515,721.243,0.268,ADULT,-1,-0.268
516,722.01,2.001,ADULT,-1,-2.001
517,724.307,0.7040000000000001,CHILD,1,0.7040000000000001
518,725.053,0.575,ADULT,-1,-0.575
520,727.7330000000001,1.2770000000000001,ADULT,-1,-1.2770000000000001
522,731.5110000000001,2.9819999999999998,ADULT,-1,-2.9819999999999998
523,732.535,0.127,ADULT,-1,-0.127
524,732.9939999999999,0.231,ADULT,-1,-0.231
525,733.492,1.446,ADULT,-1,-1.446
526,734.712,0.10300000000000001,CHILD,1,0.10300000000000001
528,736.013,1.411,ADULT,-1,-1.411
529,736.165,0.4,ADULT,-1,-0.4
530,737.289,1.7209999999999999,ADULT,-1,-1.7209999999999999
531,738.165,0.7829999999999999,ADULT,-1,-0.7829999999999999
533,740.951,7.222,ADULT,-1,-7.222
534,742.915,0.125,ADULT,-1,-0.125
535,743.308,0.395,ADULT,-1,-0.395
537,748.95,3.662,ADULT,-1,-3.662
538,751.8710000000001,4.217,CHILD,1,4.217
539,753.737,0.731,CHILD,1,0.731
540,756.191,0.996,ADULT,-1,-0.996
541,756.6289999999999,0.111,ADULT,-1,-0.111
544,759.707,0.7170000000000001,CHILD,1,0.7170000000000001
545,760.5060000000001,3.505,ADULT,-1,-3.505
547,765.55,6.461,ADULT,-1,-6.461
548,769.809,0.8029999999999999,ADULT,-1,-0.8029999999999999
550,773.174,8.856,ADULT,-1,-8.856
552,783.025,1.952,CHILD,1,1.952
553,786.8639999999999,1.127,CHILD,1,1.127
555,787.492,0.467,CHILD,1,0.467
556,787.89,1.063,ADULT,-1,-1.063
557,788.9810000000001,0.763,CHILD,1,0.763
558,789.438,0.23800000000000002,CHILD,1,0.23800000000000002
559,789.809,1.202,ADULT,-1,-1.202
560,791.076,0.38799999999999996,CHILD,1,0.38799999999999996
561,791.0880000000001,0.106,CHILD,1,0.106
562,791.51,2.938,ADULT,-1,-2.938
564,795.299,1.733,CHILD,1,1.733
565,796.2869999999999,2.332,CHILD,1,2.332
566,797.143,1.505,CHILD,1,1.505
568,798.9169999999999,3.073,CHILD,1,3.073
569,799.0110000000001,0.665,CHILD,1,0.665
570,799.944,1.8969999999999998,CHILD,1,1.8969999999999998
571,802.1510000000001,3.8560000000000003,ADULT,-1,-3.8560000000000003
573,808.01,1.5,CHILD,1,1.5
574,808.029,2.103,CHILD,1,2.103
575,809.328,0.319,ADULT,-1,-0.319
576,810.493,1.499,CHILD,1,1.499
577,811.0110000000001,4.224,CHILD,1,4.224
578,814.5110000000001,7.059,ADULT,-1,-7.059
579,822.415,4.5969999999999995,ADULT,-1,-4.5969999999999995
581,827.5110000000001,0.145,ADULT,-1,-0.145
583,828.434,1.218,ADULT,-1,-1.218
584,830.1289999999999,1.996,CHILD,1,1.996
586,833.885,1.5190000000000001,CHILD,1,1.5190000000000001
587,833.9810000000001,1.51,CHILD,1,1.51
588,836.45,9.597999999999999,ADULT,-1,-9.597999999999999
589,837.545,4.825,ADULT,-1,-4.825
591,846.5930000000001,1.8980000000000001,ADULT,-1,-1.8980000000000001
592,849.185,2.31,ADULT,-1,-2.31
594,851.8380000000001,1.85,ADULT,-1,-1.85
597,855.4780000000001,3.14,CHILD,1,3.14
598,855.492,1.245,CHILD,1,1.245
599,856.913,0.373,CHILD,1,0.373
600,857.4630000000001,2.897,CHILD,1,2.897
601,858.796,0.177,CHILD,1,0.177
603,862.296,1.4340000000000002,ADULT,-1,-1.4340000000000002
605,864.405,2.877,ADULT,-1,-2.877
607,867.5830000000001,1.051,ADULT,-1,-1.051
609,870.291,1.22,CHILD,1,1.22
610,870.387,1.105,CHILD,1,1.105
611,871.012,8.886000000000001,ADULT,-1,-8.886000000000001
612,879.775,2.2359999999999998,CHILD,1,2.2359999999999998
613,880.5110000000001,1.264,CHILD,1,1.264
614,881.6389999999999,2.85,ADULT,-1,-2.85
615,883.5110000000001,3.1839999999999997,ADULT,-1,-3.1839999999999997
616,885.183,0.127,ADULT,-1,-0.127
617,886.5110000000001,0.9990000000000001,CHILD,1,0.9990000000000001
618,886.6060000000001,0.7290000000000001,CHILD,1,0.7290000000000001
619,887.49,0.965,ADULT,-1,-0.965
621,889.68,1.831,ADULT,-1,-1.831
622,893.123,2.958,ADULT,-1,-2.958
624,897.5089999999999,11.74,ADULT,-1,-11.74
625,900.492,0.127,ADULT,-1,-0.127
627,912.492,0.52,CHILD,1,0.52
628,912.5219999999999,1.024,CHILD,1,1.024
629,913.113,0.42700000000000005,CHILD,1,0.42700000000000005
630,913.96,2.503,ADULT,-1,-2.503
631,916.255,1.235,ADULT,-1,-1.235
632,919.0110000000001,3.0660000000000003,ADULT,-1,-3.0660000000000003
634,921.562,0.6779999999999999,ADULT,-1,-0.6779999999999999
636,924.6419999999999,4.765,ADULT,-1,-4.765
637,928.28,1.193,ADULT,-1,-1.193
639,930.5089999999999,2.001,ADULT,-1,-2.001
640,931.492,1.9609999999999999,ADULT,-1,-1.9609999999999999
641,933.967,2.076,ADULT,-1,-2.076
643,935.493,1.112,ADULT,-1,-1.112
644,937.079,0.9129999999999999,ADULT,-1,-0.9129999999999999
645,937.329,4.843,ADULT,-1,-4.843
646,942.33,1.375,CHILD,1,1.375
647,943.645,0.857,ADULT,-1,-0.857
648,943.685,2.95,ADULT,-1,-2.95
649,946.0139999999999,0.496,ADULT,-1,-0.496
650,946.74,0.17600000000000002,ADULT,-1,-0.17600000000000002
651,948.795,1.325,ADULT,-1,-1.325
653,948.9839999999999,0.525,ADULT,-1,-0.525
654,949.673,1.338,ADULT,-1,-1.338
656,953.2739999999999,1.7180000000000002,ADULT,-1,-1.7180000000000002
657,953.454,2.872,ADULT,-1,-2.872
659,957.992,1.392,ADULT,-1,-1.392
660,958.2330000000001,1.743,ADULT,-1,-1.743
662,961.563,1.4480000000000002,ADULT,-1,-1.4480000000000002
663,963.482,2.241,ADULT,-1,-2.241
665,965.01,2.9819999999999998,ADULT,-1,-2.9819999999999998
666,965.825,0.10800000000000001,ADULT,-1,-0.10800000000000001
667,966.3960000000001,0.324,ADULT,-1,-0.324
670,970.586,1.645,ADULT,-1,-1.645
671,970.682,0.5670000000000001,ADULT,-1,-0.5670000000000001
673,973.456,1.306,ADULT,-1,-1.306
674,974.035,0.145,ADULT,-1,-0.145
676,979.5110000000001,2.0,ADULT,-1,-2.0
677,981.575,0.20600000000000002,ADULT,-1,-0.20600000000000002
679,984.054,0.96,ADULT,-1,-0.96
680,984.52,0.10800000000000001,ADULT,-1,-0.10800000000000001
682,986.2360000000001,0.8340000000000001,CHILD,1,0.8340000000000001
683,986.378,0.7609999999999999,CHILD,1,0.7609999999999999
684,987.8,0.727,ADULT,-1,-0.727
686,989.012,2.464,ADULT,-1,-2.464
687,989.062,0.23800000000000002,ADULT,-1,-0.23800000000000002
688,992.596,0.78,ADULT,-1,-0.78
